id;translation_key;locale;text_value
x18-ar-001;app.defaultName;ar-EG;بيمو HR
x18-en-001;app.defaultName;en-US;Bemo HR
x18-ar-002;nav.main;ar-EG;التنقل الرئيسي
x18-en-002;nav.main;en-US;Main navigation
x18-ar-003;common.active;ar-EG;نشط
x18-en-003;common.active;en-US;Active
x18-ar-004;common.inactive;ar-EG;متوقف
x18-en-004;common.inactive;en-US;Inactive
x18-ar-005;common.close;ar-EG;إغلاق
x18-en-005;common.close;en-US;Close
x18-ar-006;common.edit;ar-EG;تعديل
x18-en-006;common.edit;en-US;Edit
x18-ar-007;common.deactivate;ar-EG;تعطيل
x18-en-007;common.deactivate;en-US;Deactivate
x18-ar-008;common.delete;ar-EG;حذف
x18-en-008;common.delete;en-US;Delete
x18-ar-009;common.from;ar-EG;من
x18-en-009;common.from;en-US;From
x18-ar-010;common.toOptional;ar-EG;إلى (اختياري)
x18-en-010;common.toOptional;en-US;To (optional)
x18-ar-011;attendance.biometric;ar-EG;بصمة
x18-en-011;attendance.biometric;en-US;Biometric
x18-ar-012;attendance.manual;ar-EG;يدوي
x18-en-012;attendance.manual;en-US;Manual
x18-ar-013;attendance.manualNoPunch;ar-EG;يدوي — بدون بصمة
x18-en-013;attendance.manualNoPunch;en-US;Manual — no biometric punch
x18-ar-014;attendance.hybrid;ar-EG;مختلط
x18-en-014;attendance.hybrid;en-US;Hybrid
x18-ar-015;employment.fixed;ar-EG;ثابت
x18-en-015;employment.fixed;en-US;Fixed
x18-ar-016;employment.daily;ar-EG;يومية
x18-en-016;employment.daily;en-US;Daily
x18-ar-017;payCycle.monthly;ar-EG;شهري
x18-en-017;payCycle.monthly;en-US;Monthly
x18-ar-018;payCycle.halfMonthly;ar-EG;كل 15 يوم
x18-en-018;payCycle.halfMonthly;en-US;Every 15 days
x18-ar-019;payCycle.thirtyDays;ar-EG;كل 30 يوم
x18-en-019;payCycle.thirtyDays;en-US;Every 30 days
x18-ar-020;day.saturday;ar-EG;السبت
x18-en-020;day.saturday;en-US;Saturday
x18-ar-021;day.sunday;ar-EG;الأحد
x18-en-021;day.sunday;en-US;Sunday
x18-ar-022;day.monday;ar-EG;الإثنين
x18-en-022;day.monday;en-US;Monday
x18-ar-023;day.tuesday;ar-EG;الثلاثاء
x18-en-023;day.tuesday;en-US;Tuesday
x18-ar-024;day.wednesday;ar-EG;الأربعاء
x18-en-024;day.wednesday;en-US;Wednesday
x18-ar-025;day.thursday;ar-EG;الخميس
x18-en-025;day.thursday;en-US;Thursday
x18-ar-026;day.friday;ar-EG;الجمعة
x18-en-026;day.friday;en-US;Friday
x18-ar-027;month.1;ar-EG;يناير
x18-en-027;month.1;en-US;January
x18-ar-028;month.2;ar-EG;فبراير
x18-en-028;month.2;en-US;February
x18-ar-029;month.3;ar-EG;مارس
x18-en-029;month.3;en-US;March
x18-ar-030;month.4;ar-EG;أبريل
x18-en-030;month.4;en-US;April
x18-ar-031;month.5;ar-EG;مايو
x18-en-031;month.5;en-US;May
x18-ar-032;month.6;ar-EG;يونيو
x18-en-032;month.6;en-US;June
x18-ar-033;month.7;ar-EG;يوليو
x18-en-033;month.7;en-US;July
x18-ar-034;month.8;ar-EG;أغسطس
x18-en-034;month.8;en-US;August
x18-ar-035;month.9;ar-EG;سبتمبر
x18-en-035;month.9;en-US;September
x18-ar-036;month.10;ar-EG;أكتوبر
x18-en-036;month.10;en-US;October
x18-ar-037;month.11;ar-EG;نوفمبر
x18-en-037;month.11;en-US;November
x18-ar-038;month.12;ar-EG;ديسمبر
x18-en-038;month.12;en-US;December
x18-ar-039;dashboard.eyebrow;ar-EG;نظرة تشغيلية
x18-en-039;dashboard.eyebrow;en-US;Operations overview
x18-ar-040;dashboard.title;ar-EG;لوحة متابعة الحضور
x18-en-040;dashboard.title;en-US;Attendance dashboard
x18-ar-041;dashboard.description;ar-EG;المهم أولًا: تغطية الفترة والاستثناءات والخطوة التالية.
x18-en-041;dashboard.description;en-US;Focus first on period coverage, exceptions, and the next action.
x18-ar-042;dashboard.month;ar-EG;الشهر
x18-en-042;dashboard.month;en-US;Month
x18-ar-043;dashboard.year;ar-EG;السنة
x18-en-043;dashboard.year;en-US;Year
x18-ar-044;dashboard.noReport;ar-EG;لا يوجد تقرير
x18-en-044;dashboard.noReport;en-US;No report
x18-ar-045;dashboard.pendingDecisions;ar-EG;{count} بند يحتاج قرارًا قبل الاعتماد
x18-en-045;dashboard.pendingDecisions;en-US;{count} items require a decision before approval
x18-ar-046;dashboard.noPending;ar-EG;لا توجد استثناءات معلّقة
x18-en-046;dashboard.noPending;en-US;No pending exceptions
x18-ar-047;dashboard.openReview;ar-EG;فتح المراجعة
x18-en-047;dashboard.openReview;en-US;Open review
x18-ar-048;dashboard.createReport;ar-EG;إنشاء التقرير
x18-en-048;dashboard.createReport;en-US;Create report
x18-ar-049;dashboard.attendanceRate;ar-EG;نسبة الحضور
x18-en-049;dashboard.attendanceRate;en-US;Attendance rate
x18-ar-050;dashboard.employeeDaysOf;ar-EG;{present} من {scheduled} يوم موظف
x18-en-050;dashboard.employeeDaysOf;en-US;{present} of {scheduled} employee days
x18-ar-051;dashboard.activeEmployees;ar-EG;الموظفون النشطون
x18-en-051;dashboard.activeEmployees;en-US;Active employees
x18-ar-052;dashboard.workCategories;ar-EG;{count} فئات عمل
x18-en-052;dashboard.workCategories;en-US;{count} work categories
x18-ar-053;dashboard.lateness;ar-EG;التأخير
x18-en-053;dashboard.lateness;en-US;Lateness
x18-ar-054;dashboard.employeeDaysPeriod;ar-EG;يوم موظف خلال الفترة
x18-en-054;dashboard.employeeDaysPeriod;en-US;Employee days during the period
x18-ar-055;dashboard.overtime;ar-EG;الوقت الإضافي
x18-en-055;dashboard.overtime;en-US;Overtime
x18-ar-056;dashboard.calculatedHours;ar-EG;ساعة محسوبة
x18-en-056;dashboard.calculatedHours;en-US;Calculated hours
x18-ar-057;dashboard.unmatchedIdentity;ar-EG;هوية جهاز غير مربوطة
x18-en-057;dashboard.unmatchedIdentity;en-US;Unmatched device identity
x18-ar-058;dashboard.reviewMapping;ar-EG;مراجعة الربط
x18-en-058;dashboard.reviewMapping;en-US;Review mapping
x18-ar-059;dashboard.categorySummary;ar-EG;ملخص الفئات
x18-en-059;dashboard.categorySummary;en-US;Category summary
x18-ar-060;dashboard.categorySummaryHint;ar-EG;الوصول المعتاد والتغطية لكل فئة
x18-en-060;dashboard.categorySummaryHint;en-US;Typical arrival and coverage for each category
x18-ar-061;dashboard.category;ar-EG;الفئة
x18-en-061;dashboard.category;en-US;Category
x18-ar-062;dashboard.present;ar-EG;حضور
x18-en-062;dashboard.present;en-US;Present
x18-ar-063;dashboard.exceptions;ar-EG;استثناءات
x18-en-063;dashboard.exceptions;en-US;Exceptions
x18-ar-064;dashboard.typicalArrival;ar-EG;الوصول المعتاد
x18-en-064;dashboard.typicalArrival;en-US;Typical arrival
x18-ar-065;dashboard.overtimeShort;ar-EG;إضافي
x18-en-065;dashboard.overtimeShort;en-US;Overtime
x18-ar-066;dashboard.employeeDays;ar-EG;{count} يوم موظف
x18-en-066;dashboard.employeeDays;en-US;{count} employee days
x18-ar-067;dashboard.hourShort;ar-EG;س
x18-en-067;dashboard.hourShort;en-US;h
x18-ar-068;dashboard.noResults;ar-EG;لا توجد نتائج بعد
x18-en-068;dashboard.noResults;en-US;No results yet
x18-ar-069;dashboard.noResultsHint;ar-EG;أنشئ تقرير الفترة لعرض مؤشرات الفئات.
x18-en-069;dashboard.noResultsHint;en-US;Create a period report to view category indicators.
x18-ar-070;dashboard.recentImports;ar-EG;آخر الاستيرادات
x18-en-070;dashboard.recentImports;en-US;Recent imports
x18-ar-071;dashboard.savedPunches;ar-EG;{count} بصمة محفوظة
x18-en-071;dashboard.savedPunches;en-US;{count} saved punches
x18-ar-072;dashboard.viewAll;ar-EG;عرض الكل
x18-en-072;dashboard.viewAll;en-US;View all
x18-ar-073;dashboard.rows;ar-EG;{count} صف
x18-en-073;dashboard.rows;en-US;{count} rows
x18-ar-074;dashboard.errors;ar-EG;{count} أخطاء
x18-en-074;dashboard.errors;en-US;{count} errors
x18-ar-075;dashboard.completed;ar-EG;مكتمل
x18-en-075;dashboard.completed;en-US;Completed
x18-ar-076;dashboard.noImports;ar-EG;لم يتم استيراد بصمة
x18-en-076;dashboard.noImports;en-US;No attendance file imported
x18-ar-077;dashboard.noImportsHint;ar-EG;ارفع أول ملف من جهاز الحضور.
x18-en-077;dashboard.noImportsHint;en-US;Upload the first file from the attendance device.
x18-ar-078;employees.eyebrow;ar-EG;دليل العاملين
x18-en-078;employees.eyebrow;en-US;Employee directory
x18-ar-079;employees.title;ar-EG;الموظفون وربط البصمة
x18-en-079;employees.title;en-US;Employees and biometric mapping
x18-ar-080;employees.description;ar-EG;العامل اليدوي لا يحتاج رقم جهاز والفئة تحدد طريقة إثبات الحضور.
x18-en-080;employees.description;en-US;Manual workers do not need a device ID — their category defines attendance proof.
x18-ar-081;employees.add;ar-EG;موظف جديد
x18-en-081;employees.add;en-US;New employee
x18-ar-082;employees.search;ar-EG;بحث بالاسم أو الكود أو رقم الجهاز
x18-en-082;employees.search;en-US;Search by name, code, or device ID
x18-ar-083;employees.searchLabel;ar-EG;بحث
x18-en-083;employees.searchLabel;en-US;Search
x18-ar-084;employees.count;ar-EG;{count} موظف
x18-en-084;employees.count;en-US;{count} employees
x18-ar-085;employees.employee;ar-EG;الموظف
x18-en-085;employees.employee;en-US;Employee
x18-ar-086;employees.category;ar-EG;الفئة
x18-en-086;employees.category;en-US;Category
x18-ar-087;employees.employmentType;ar-EG;نوع التعيين
x18-en-087;employees.employmentType;en-US;Employment type
x18-ar-088;employees.deviceUserId;ar-EG;رقم جهاز البصمة
x18-en-088;employees.deviceUserId;en-US;Biometric device ID
x18-ar-089;employees.activePeriod;ar-EG;فترة النشاط
x18-en-089;employees.activePeriod;en-US;Active period
x18-ar-090;employees.status;ar-EG;الحالة
x18-en-090;employees.status;en-US;Status
x18-ar-091;employees.manualNoPunch;ar-EG;يدوي / بدون بصمة
x18-en-091;employees.manualNoPunch;en-US;Manual / no biometric
x18-ar-092;employees.until;ar-EG;حتى
x18-en-092;employees.until;en-US;Until
x18-ar-093;employees.ongoing;ar-EG;مستمر
x18-en-093;employees.ongoing;en-US;Ongoing
x18-ar-094;employees.noResults;ar-EG;لا يوجد موظفون مطابقون
x18-en-094;employees.noResults;en-US;No matching employees
x18-ar-095;employees.noResultsHint;ar-EG;أضف فئة أولًا ثم سجل الموظفين.
x18-en-095;employees.noResultsHint;en-US;Add a category first, then register employees.
x18-ar-096;employees.editEyebrow;ar-EG;تعديل بيانات
x18-en-096;employees.editEyebrow;en-US;Edit record
x18-ar-097;employees.newEyebrow;ar-EG;سجل جديد
x18-en-097;employees.newEyebrow;en-US;New record
x18-ar-098;employees.editTitle;ar-EG;تعديل الموظف
x18-en-098;employees.editTitle;en-US;Edit employee
x18-ar-099;employees.newTitle;ar-EG;إضافة موظف
x18-en-099;employees.newTitle;en-US;Add employee
x18-ar-100;employees.employeeCode;ar-EG;كود الموظف
x18-en-100;employees.employeeCode;en-US;Employee code
x18-ar-101;employees.fullName;ar-EG;الاسم بالكامل
x18-en-101;employees.fullName;en-US;Full name
x18-ar-102;employees.deviceUserIdOptional;ar-EG;رقم المستخدم على جهاز البصمة (اختياري)
x18-en-102;employees.deviceUserIdOptional;en-US;Biometric device user ID (optional)
x18-ar-103;employees.deviceUserIdPlaceholder;ar-EG;اتركه فارغًا للعمالة اليدوية
x18-en-103;employees.deviceUserIdPlaceholder;en-US;Leave empty for manual workers
x18-ar-104;employees.deviceUserIdHint;ar-EG;الاسم في الملف للمساعدة فقط والمطابقة الآمنة تتم بهذا الرقم.
x18-en-104;employees.deviceUserIdHint;en-US;The file name is only a hint — safe matching uses this ID.
x18-ar-105;employees.activeFrom;ar-EG;نشط من
x18-en-105;employees.activeFrom;en-US;Active from
x18-ar-106;employees.activeToOptional;ar-EG;نشط إلى (اختياري)
