id;translation_key;locale;text_value
v105-001;SETTL_NOT_APPROVED;ar-EG;"يجب اعتماد تسوية المقاول قبل الترحيل أو الربط بالفاتورة."
v105-001;SETTL_NOT_APPROVED;en-US;"Contractor settlement must be approved before posting or linking invoice."
v105-002;SETTL_ALREADY_POSTED;ar-EG;"تم ترحيل هذه التسوية بالفعل إلى المالية."
v105-002;SETTL_ALREADY_POSTED;en-US;"This settlement has already been posted to finance."
v105-003;SETTL_ALREADY_PAID;ar-EG;"تم صرف هذه التسوية بالكامل سابقاً."
v105-003;SETTL_ALREADY_PAID;en-US;"This settlement has already been fully paid."
v105-004;SETTL_INVOICE_VARIANCE_EXCEEDED;ar-EG;"قيمة الفاتورة تتجاوز المبلغ المعتمد بالتسوية خارج حد التسامح."
v105-004;SETTL_INVOICE_VARIANCE_EXCEEDED;en-US;"Invoice amount exceeds approved settlement total beyond tolerance."
v105-005;workforce.settlements.title;ar-EG;"دورة تسويات المقاولين"
v105-005;workforce.settlements.title;en-US;"Contractor Settlement Lifecycle"
v105-006;workforce.settlements.postToFinance;ar-EG;"ترحيل للمالية"
v105-006;workforce.settlements.postToFinance;en-US;"Post to Finance"
v105-007;workforce.settlements.postConfirmTitle;ar-EG;"تأكيد ترحيل التسوية"
v105-007;workforce.settlements.postConfirmTitle;en-US;"Confirm Settlement Posting"
v105-008;workforce.settlements.postConfirmMessage;ar-EG;"هل أنت تأكد من ترحيل قيود قيد المستحق ورصيد حساب المقاول بالمستندات المعتمدة؟"
v105-008;workforce.settlements.postConfirmMessage;en-US;"Are you sure you want to post the journal entries and update the partner ledger for this approved settlement?"
v105-009;workforce.settlements.linkInvoice;ar-EG;"ربط فاتورة المقاول"
v105-009;workforce.settlements.linkInvoice;en-US;"Link Contractor Invoice"
v105-010;workforce.settlements.linkInvoiceTitle;ar-EG;"بيانات فاتورة المقاول"
v105-010;workforce.settlements.linkInvoiceTitle;en-US;"Contractor Invoice Details"
v105-011;workforce.settlements.invoiceNumber;ar-EG;"رقم الفاتورة"
v105-011;workforce.settlements.invoiceNumber;en-US;"Invoice Number"
v105-012;workforce.settlements.invoiceDate;ar-EG;"تاريخ الفاتورة"
v105-012;workforce.settlements.invoiceDate;en-US;"Invoice Date"
v105-013;workforce.settlements.markPaid;ar-EG;"تسجيل سداد"
v105-013;workforce.settlements.markPaid;en-US;"Record Payment"
v105-014;workforce.settlements.markPaidTitle;ar-EG;"تسجيل صرف مستحقات المقاول"
v105-014;workforce.settlements.markPaidTitle;en-US;"Record Contractor Settlement Payment"
v105-015;workforce.settlements.paymentRef;ar-EG;"رقم مرجع الصرف"
v105-015;workforce.settlements.paymentRef;en-US;"Payment Reference"
v105-016;workforce.settlements.statement;ar-EG;"كشف حساب المقاول"
v105-016;workforce.settlements.statement;en-US;"Contractor Statement"
v105-017;workforce.settlements.workerLines;ar-EG;"تفاصيل مستحقات العمال"
v105-017;workforce.settlements.workerLines;en-US;"Worker Net Wages Breakdown"
v105-018;workforce.settlements.adjustments;ar-EG;"التسويات والإضافات"
v105-018;workforce.settlements.adjustments;en-US;"Settlement Adjustments & Fees"
